-25  -1.74237631597681e-18   -1.49293313536289e-07
-24.75  3.44942745195361e-18   -3.88247683256321e-08
-24.5  5.16841022793042e-18   -9.3563170197597e-08
-24.25  -4.26078e-20   -3.45878482140016e-08
-24  3.42299745195361e-18   2.39571911000297e-07
-23.75  -4.92372e-20   1.46577875285298e-07
-23.5  3.41862905195361e-18   2.33983672673355e-07
-23.25  3.41676055195361e-18   -2.26736683945489e-07
-23  3.41483965195361e-18   4.16274267556194e-08
-22.75  1.67917957597681e-18   3.40967180531559e-08
-22.5  3.41465395195361e-18   -1.25500660256433e-07
-22.25  -5.36805e-20   -7.14104204588284e-09
-22  1.68116837597681e-18   2.56618001133468e-07
-21.75  -1.78988537597681e-18   8.35621880822257e-08
-21.5  3.41175375195361e-18   -1.21762311448836e-07
-21.25  -3.53054255195361e-18   1.03980288049949e-07
-21  -5.26815112793042e-18   -6.08051799466658e-08
-20.75  1.66992757597681e-18   2.04336942765532e-07
-20.5  -6.43274e-20   -1.59371174503903e-07
-20.25  -5.26803762793042e-18   2.09363385857142e-07
-20  5.13605012793042e-18   4.35388486135641e-07
-19.75  -3.54463175195361e-18   4.09453306250002e-07
-19.5  -7.98118e-20   2.05107858509967e-07
-19.25  -3.55141965195361e-18   -2.18934775111229e-07
-19  -8.39166e-20   1.53311032351916e-07
-18.75  -8.60855e-20   -2.31237479959151e-07
-18.5  3.38224885195361e-18   3.79238758525108e-07
-18.25  -1.82430647597681e-18   3.53780514477514e-07
-18  -3.56239005195361e-18   -4.7828107037351e-08
-17.75  -3.56372045195361e-18   -8.00861388802754e-08
-17.5  -9.4367e-20   1.2885856086331e-07
-17.25  1.63685757597681e-18   1.5215408646907e-07
-17  1.63277847597681e-18   6.0319342742865e-08
-16.75  1.63140447597681e-18   -2.91345924947894e-07
-16.5  -1.05716e-19   1.89215719099967e-07
-16.25  1.62183947597681e-18   -2.44029898899267e-07
-16  -1.85656347597681e-18   1.94911034583078e-07
-15.75  -1.27586e-19   1.06681572326073e-07
-15.5  -1.86089147597681e-18   1.1250647773825e-07
-15.25  -1.2472e-19   -2.98068918769268e-07
-15  1.61377247597681e-18   -2.03565812817441e-07
-14.75  5.08256342793042e-18   -1.12340345560791e-07
-14.5  5.08061642793042e-18   1.01247118987347e-07
-14.25  -1.25979e-19   9.65412896639095e-08
-14  -1.86652947597681e-18   -9.98267055199453e-08
-13.75  3.33563295195361e-18   -1.19288764630077e-08
-13.5  5.06698442793042e-18   4.66428048545575e-08
-13.25  3.32892095195361e-18   -4.09566310519138e-08
-13  -3.61622895195361e-18   -3.47206690058666e-07
-12.75  -5.35752642793042e-18   -7.70017783702226e-07
-12.5  -1.88752147597681e-18   2.2590356556218e-07
-12.25  1.58617947597681e-18   6.69751458140522e-07
-12  -3.62603495195361e-18   2.75461914625574e-07
-11.75  1.57073147597681e-18   2.53555531001814e-07
-11.5  3.28329395195361e-18   -2.1387958308583e-07
